Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.2
Sample Interval,0.0016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.0615
Vertical Scale,0.02
Label,
TIME,CH1
-1.600e+00,0.1687
-1.598e+00,0.1687
-1.597e+00,0.1695
-1.595e+00,0.1687
-1.594e+00,0.1679
-1.592e+00,0.1687
-1.590e+00,0.1695
-1.589e+00,0.1703
-1.587e+00,0.1703
-1.586e+00,0.1703
-1.584e+00,0.1695
-1.582e+00,0.1703
-1.581e+00,0.1703
-1.579e+00,0.1695
-1.578e+00,0.1687
-1.576e+00,0.1687
-1.574e+00,0.1679
-1.573e+00,0.1679
-1.571e+00,0.1679
-1.570e+00,0.1695
-1.568e+00,0.1695
-1.566e+00,0.1687
-1.565e+00,0.1687
-1.563e+00,0.1687
-1.562e+00,0.1695
-1.560e+00,0.1695
-1.558e+00,0.1695
-1.557e+00,0.1687
-1.555e+00,0.1687
-1.554e+00,0.1687
-1.552e+00,0.1695
-1.550e+00,0.1687
-1.549e+00,0.1703
-1.547e+00,0.1695
-1.546e+00,0.1695
-1.544e+00,0.1695
-1.542e+00,0.1687
-1.541e+00,0.1687
-1.539e+00,0.1695
-1.538e+00,0.1679
-1.536e+00,0.1679
-1.534e+00,0.1687
-1.533e+00,0.1671
-1.531e+00,0.1679
-1.530e+00,0.1687
-1.528e+00,0.1703
-1.526e+00,0.1703
-1.525e+00,0.1695
-1.523e+00,0.1695
-1.522e+00,0.1695
-1.520e+00,0.1695
-1.518e+00,0.1687
-1.517e+00,0.1687
-1.515e+00,0.1687
-1.514e+00,0.1679
-1.512e+00,0.1687
-1.510e+00,0.1679
-1.509e+00,0.1671
-1.507e+00,0.1695
-1.506e+00,0.1687
-1.504e+00,0.1687
-1.502e+00,0.1679
-1.501e+00,0.1671
-1.499e+00,0.1679
-1.498e+00,0.1679
-1.496e+00,0.1671
-1.494e+00,0.1679
-1.493e+00,0.1687
-1.491e+00,0.1687
-1.490e+00,0.1695
-1.488e+00,0.1695
-1.486e+00,0.1703
-1.485e+00,0.1703
-1.483e+00,0.1695
-1.482e+00,0.1687
-1.480e+00,0.1695
-1.478e+00,0.1687
-1.477e+00,0.1695
-1.475e+00,0.1687
-1.474e+00,0.1679
-1.472e+00,0.1679
-1.470e+00,0.1687
-1.469e+00,0.1687
-1.467e+00,0.1703
-1.466e+00,0.1687
-1.464e+00,0.1695
-1.462e+00,0.1695
-1.461e+00,0.1695
-1.459e+00,0.1695
-1.458e+00,0.1703
-1.456e+00,0.1695
-1.454e+00,0.1687
-1.453e+00,0.1687
-1.451e+00,0.1687
-1.450e+00,0.1695
-1.448e+00,0.1703
-1.446e+00,0.1703
-1.445e+00,0.1695
-1.443e+00,0.1695
-1.442e+00,0.1695
-1.440e+00,0.1695
-1.438e+00,0.1695
-1.437e+00,0.1687
-1.435e+00,0.1687
-1.434e+00,0.1687
-1.432e+00,0.1679
-1.430e+00,0.1687
-1.429e+00,0.1703
-1.427e+00,0.1711
-1.426e+00,0.1703
-1.424e+00,0.1695
-1.422e+00,0.1695
-1.421e+00,0.1695
-1.419e+00,0.1703
-1.418e+00,0.1703
-1.416e+00,0.1695
-1.414e+00,0.1687
-1.413e+00,0.1695
-1.411e+00,0.1687
-1.410e+00,0.1695
-1.408e+00,0.1695
-1.406e+00,0.1703
-1.405e+00,0.1695
-1.403e+00,0.1695
-1.402e+00,0.1695
-1.400e+00,0.1687
-1.398e+00,0.1687
-1.397e+00,0.1687
-1.395e+00,0.1679
-1.394e+00,0.1599
-1.392e+00,0.1575
-1.390e+00,0.1511
-1.389e+00,0.1543
-1.387e+00,0.1535
-1.386e+00,0.1423
-1.384e+00,0.1319
-1.382e+00,0.1319
-1.381e+00,0.1303
-1.379e+00,0.1271
-1.378e+00,0.1231
-1.376e+00,0.1167
-1.374e+00,0.1159
-1.373e+00,0.1103
-1.371e+00,0.1039
-1.370e+00,0.1055
-1.368e+00,0.1111
-1.366e+00,0.1031
-1.365e+00,0.0943
-1.363e+00,0.0871
-1.362e+00,0.0879
-1.360e+00,0.0895
-1.358e+00,0.0847
-1.357e+00,0.0839
-1.355e+00,0.0823
-1.354e+00,0.0815
-1.352e+00,0.0823
-1.350e+00,0.0831
-1.349e+00,0.0863
-1.347e+00,0.0871
-1.346e+00,0.0863
-1.344e+00,0.0879
-1.342e+00,0.0871
-1.341e+00,0.0863
-1.339e+00,0.0863
-1.338e+00,0.0871
-1.336e+00,0.0951
-1.334e+00,0.0975
-1.333e+00,0.0975
-1.331e+00,0.0999
-1.330e+00,0.1103
-1.328e+00,0.1159
-1.326e+00,0.1279
-1.325e+00,0.1247
-1.323e+00,0.1271
-1.322e+00,0.1351
-1.320e+00,0.1407
-1.318e+00,0.1415
-1.317e+00,0.1455
-1.315e+00,0.1471
-1.314e+00,0.1487
-1.312e+00,0.1463
-1.310e+00,0.1463
-1.309e+00,0.1575
-1.307e+00,0.1623
-1.306e+00,0.1599
-1.304e+00,0.1575
-1.302e+00,0.1607
-1.301e+00,0.1663
-1.299e+00,0.1687
-1.298e+00,0.1671
-1.296e+00,0.1671
-1.294e+00,0.1687
-1.293e+00,0.1695
-1.291e+00,0.1695
-1.290e+00,0.1703
-1.288e+00,0.1695
-1.286e+00,0.1679
-1.285e+00,0.1679
-1.283e+00,0.1679
-1.282e+00,0.1655
-1.280e+00,0.1639
-1.278e+00,0.1615
-1.277e+00,0.1623
-1.275e+00,0.1631
-1.274e+00,0.1615
-1.272e+00,0.1551
-1.270e+00,0.1527
-1.269e+00,0.1535
-1.267e+00,0.1543
-1.266e+00,0.1455
-1.264e+00,0.1383
-1.262e+00,0.1319
-1.261e+00,0.1311
-1.259e+00,0.1255
-1.258e+00,0.1239
-1.256e+00,0.1199
-1.254e+00,0.1151
-1.253e+00,0.1071
-1.251e+00,0.1039
-1.250e+00,0.1071
-1.248e+00,0.1143
-1.246e+00,0.1143
-1.245e+00,0.1087
-1.243e+00,0.1079
-1.242e+00,0.1047
-1.240e+00,0.1039
-1.238e+00,0.0983
-1.237e+00,0.0959
-1.235e+00,0.0919
-1.234e+00,0.0903
-1.232e+00,0.0863
-1.230e+00,0.0847
-1.229e+00,0.0855
-1.227e+00,0.0855
-1.226e+00,0.0847
-1.224e+00,0.0839
-1.222e+00,0.0839
-1.221e+00,0.0839
-1.219e+00,0.0839
-1.218e+00,0.0847
-1.216e+00,0.0871
-1.214e+00,0.0879
-1.213e+00,0.0887
-1.211e+00,0.0895
-1.210e+00,0.0951
-1.208e+00,0.0975
-1.206e+00,0.0999
-1.205e+00,0.1015
-1.203e+00,0.1047
-1.202e+00,0.1063
-1.200e+00,0.1095
-1.198e+00,0.1151
-1.197e+00,0.1175
-1.195e+00,0.1223
-1.194e+00,0.1215
-1.192e+00,0.1215
-1.190e+00,0.1263
-1.189e+00,0.1295
-1.187e+00,0.1295
-1.186e+00,0.1343
-1.184e+00,0.1327
-1.182e+00,0.1367
-1.181e+00,0.1391
-1.179e+00,0.1375
-1.178e+00,0.1359
-1.176e+00,0.1375
-1.174e+00,0.1431
-1.173e+00,0.1407
-1.171e+00,0.1415
-1.170e+00,0.1439
-1.168e+00,0.1543
-1.166e+00,0.1583
-1.165e+00,0.1591
-1.163e+00,0.1575
-1.162e+00,0.1663
-1.160e+00,0.1679
-1.158e+00,0.1687
-1.157e+00,0.1679
-1.155e+00,0.1679
-1.154e+00,0.1687
-1.152e+00,0.1703
-1.150e+00,0.1703
-1.149e+00,0.1711
-1.147e+00,0.1711
-1.146e+00,0.1711
-1.144e+00,0.1703
-1.142e+00,0.1703
-1.141e+00,0.1703
-1.139e+00,0.1687
-1.138e+00,0.1687
-1.136e+00,0.1687
-1.134e+00,0.1679
-1.133e+00,0.1671
-1.131e+00,0.1655
-1.130e+00,0.1663
-1.128e+00,0.1679
-1.126e+00,0.1663
-1.125e+00,0.1607
-1.123e+00,0.1583
-1.122e+00,0.1575
-1.120e+00,0.1607
-1.118e+00,0.1551
-1.117e+00,0.1535
-1.115e+00,0.1551
-1.114e+00,0.1559
-1.112e+00,0.1511
-1.110e+00,0.1471
-1.109e+00,0.1487
-1.107e+00,0.1487
-1.106e+00,0.1455
-1.104e+00,0.1423
-1.102e+00,0.1383
-1.101e+00,0.1391
-1.099e+00,0.1399
-1.098e+00,0.1319
-1.096e+00,0.1263
-1.094e+00,0.1239
-1.093e+00,0.1239
-1.091e+00,0.1175
-1.090e+00,0.1135
-1.088e+00,0.1095
-1.086e+00,0.1143
-1.085e+00,0.1135
-1.083e+00,0.1071
-1.082e+00,0.1031
-1.080e+00,0.1063
-1.078e+00,0.1111
-1.077e+00,0.1047
-1.075e+00,0.0951
-1.074e+00,0.0919
-1.072e+00,0.0975
-1.070e+00,0.0999
-1.069e+00,0.0943
-1.067e+00,0.0911
-1.066e+00,0.0903
-1.064e+00,0.0919
-1.062e+00,0.0919
-1.061e+00,0.0863
-1.059e+00,0.0855
-1.058e+00,0.0847
-1.056e+00,0.0823
-1.054e+00,0.0823
-1.053e+00,0.0815
-1.051e+00,0.0823
-1.050e+00,0.0839
-1.048e+00,0.0847
-1.046e+00,0.0855
-1.045e+00,0.0847
-1.043e+00,0.0847
-1.042e+00,0.0831
-1.040e+00,0.0831
-1.038e+00,0.0831
-1.037e+00,0.0831
-1.035e+00,0.0823
-1.034e+00,0.0823
-1.032e+00,0.0831
-1.030e+00,0.0847
-1.029e+00,0.0871
-1.027e+00,0.0887
-1.026e+00,0.0895
-1.024e+00,0.0879
-1.022e+00,0.0863
-1.021e+00,0.0887
-1.019e+00,0.0911
-1.018e+00,0.0959
-1.016e+00,0.0911
-1.014e+00,0.0895
-1.013e+00,0.0935
-1.011e+00,0.0951
-1.010e+00,0.0991
-1.008e+00,0.0991
-1.006e+00,0.0983
-1.005e+00,0.0991
